Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
BIOL - Biology,Bioinformatics I,BIOL 285,3,200,None,None,,,,
BIOL - Biology,Bioinformatics I Lab,BIOL 285L,1,200,None,None,,,,
BIOL - Biology,Practical Tools for Bioinformatics,BIOL 286,3,200,"MATH 110, BIOL 101, BIOL 102",,,,,
BIOL - Biology,Practical Tools for Bioinformatics Lab,BIOL 286L,1,200,"MATH 110, BIOL 101, BIOL 103",BIOL 286L,,,,
BIOL - Biology,Undergraduate Research ,BIOL 290,1 to 3,200,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 291,1 to 3,200,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 292,1 to 3,200,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 293,1 to 3,200,None,None,,,,
BIOL - Biology,Genetic Principles,BIOL 305,3,300,"BIOL 101, BIOL 101L, CHEM 203, CHEM 233",,,,,
BIOL - Biology,Genetic Principles Lab,BIOL 305L,1,300,"BIOL 101, BIOL 101L, CHEM 203, CHEM 234",BIOL 305,,,,
BIOL - Biology,Molecular Plant Biology ,BIOL 313,3,300,"BIOL 102, BIOL 102L, CHEM 234, CHEM 204",,,,,
BIOL - Biology,Molecular Plant Biology Lab,BIOL 313L,1,300,"BIOL 102, BIOL 102L, CHEM 234, CHEM 205",BIOL 313,,,,
BIOL - Biology,Molecular Cell Biology I,BIOL 343,3,300,"BIOL 305, BIOL 313, CHEM 234",,,,,
BIOL - Biology,Molecular Cell Biology I Lab,BIOL 343L,1,300,"BIOL 305, BIOL 313, CHEM 235",BIOL 343,,,,
BIOL - Biology,Molecular Cell Biology II,BIOL 344,3,300,"BIOL 343, BIOL 305, BIOL 313, BIOL 343",,,,,
BIOL - Biology,Molecular Cell Biology II Lab,BIOL 344L,1,300,"BIOL 343, BIOL 305, BIOL 313, BIOL 344",BIOL 344,,,,
BIOL - Biology,Genetic Principles,BIOL 350,3,300,"BIOL 101, BIOL 101L, CHEM 233, CHEM 203",BIOL 350L,,,,
BIOL - Biology,Genetic Principles Lab,BIOL 350L,1,300,,BIOL 350,,,,
BIOL - Biology,Molecular Cell Biology,BIOL 360,3,300,"BIOL 350, BIOL 350L",BIOL 360L,,,,
BIOL - Biology,Molecular Cell Biology Lab,BIOL 360L,1,300,"BIOL 350, BIOL 350L",BIOL 360,,,,
BIOL - Biology,Introduction to Cancer Biology,BIOL 370,3,300,None,BIOL 370L,Spring,,,
BIOL - Biology,Introduction to Cancer Biology Lab,BIOL 370L,1,300,None,BIOL 370,Spring,,,
BIOL - Biology,Special Problems in Biology,BIOL 390,3,300,None,None,,,,
