Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
HIS - History,African American History,HIS 270,3,200,"CORE 150, ENG 275 or HIS 180",None,,,,
HIS - History,Historiography and Methodology,HIS 300,3,300,None,None,,,,
HIS - History,History Seminar,HIS 350,3,300,None,None,,,,
HIS - History,Modern World History,HIS 360,3,300,None,None,,,,
HIS - History,Internship In History ,HIS 370,3,300,None,None,,,,
HIS - History,Senior Seminar,HIS 499,3,400,None,None,,,,
HMLS - Homeland Security,Introduction to Emergency Management,HMLS 201,3,200,None,None,,,,
HMLS - Homeland Security,Border and Immigration Control,HMLS 220,3,200,None,None,,,,
HMLS - Homeland Security,Introduction to Homeland Security,HMLS 225,3,200,None,None,,,,
HMLS - Homeland Security,Social Dimensions of Disasters,HMLS 365,3,300,None,None,,,,
HMLS - Homeland Security,Critical Infrastructure Protection,HMLS 400,3,400,None,None,,,,
HON - Honors,Introduction to the Honors Program I,HON 111,2,100,Admission to the W.E.B Du Bois General University Honors Program,None,,,,
HON - Honors,Introduction to the Honors Program II,HON 112,2,100,Admission to the W.E.B Du Bois General University Honors Program,None,,,,
HON - Honors,Freshman Honors Independent Study I,HON 121,2,100,Admission to the W.E.B Du Bois General University Honors Program,None,,,,
HON - Honors,Freshman Honors Independent Study II,HON 122,2,100,Admission to the W.E.B Du Bois General University Honors Program,None,,,,
HON - Honors,Sophomore Honors Colloquium,HON 211,3,200,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Sophomore Honors Independent Study I,HON 221,2,200,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Sophomore Honors Independent Study II,HON 222,2,200,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Junior Honors Colloquium I ,HON 311,3,300,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Junior Honors Colloquium II,HON 312,3,300,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Junior Honors Independent Study I,HON 321,3,300,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Junior Honors Independent Study II,HON 322,3,300,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Senior Honors Colloquium I,HON 411,3,400,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Senior Honors Colloquium II,HON 412,3,400,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Senior Honors Independent Study I,HON 421,3,400,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Senior Honors Independent Study II,HON 422,3,400,"Admission to the W.E.B Du Bois General University Honors Program, 3.0 or better Grade Point Average",None,,,,
HON - Honors,Senior Honors Project ,HON 497,3,400,None,None,,,,
HON - Honors,Senior Honors Project ,HON 498,3,400,None,None,,,,
HSS - Humanities and Social Sciences,SpeciaL Topics,HSS 170,3,100,None,None,,,,
HSS - Humanities and Social Sciences,Logic,HSS 170L,3,100,None,None,,,,
HSS - Humanities and Social Sciences,Public Speaking ,HSS 180,3,100,None,None,,,,
HSS - Humanities and Social Sciences,African American History and Virtual Reality ,HSS 220,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Topics in Broadcasting,HSS 229,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Mass Media and Society,HSS 235,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Introduction to Journalism,HSS 237,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Topics in Journalism,HSS 238,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Practicum in Mass Communications,HSS 240,1 to 3,200,Instructor Permission,None,,,,
HSS - Humanities and Social Sciences,Newspaper Production ,HSS 242,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Introduction to Women's Studies,HSS 250,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Social Research Methods,HSS 280,3,200,CORE 130,None,,,,
HSS - Humanities and Social Sciences,Behavioral Statistics,HSS 290,3,200,None,None,,,,
HSS - Humanities and Social Sciences,Black Experiences,HSS 380,3,300,None,None,,,,
HSS - Humanities and Social Sciences,"Multicultural Diversity, Social Inequality, and the Pursuit of Health in Global Perspective",HSS 380A,3,300,None,None,,,,
IND - Interior Design,Design Fundamentals,IND 101,3,100,None,None,Distribution: Studio,,,
IND - Interior Design,Architectural Drawing I,IND 111,3,100,None,None,Distribution: Studio,,,
IND - Interior Design,Building Construction,IND 113,3,100,None,None,Distribution: Studio,,,
IND - Interior Design,Textiles and Furnishes,IND 205,3,200,None,None,Distribution: Lecture,,,
IND - Interior Design,History of Architectural and Design I,IND 206,3,200,None,None,Distribution: Lecture,,,
IND - Interior Design,History of Architectural and Design II,IND 207,3,200,None,None,Distribution: Lecture,,,
IND - Interior Design,CAD I,IND 311,3,300,None,None,Distribution: Studio,,,
INS - Insurance and Risk Management,Risk Management Insurance I,INS 101,3,100,None,None,,,,
INS - Insurance and Risk Management,Agency Operation and Distribution Channels,INS 102,3,100,None,None,,,,
INS - Insurance and Risk Management,Claims and Operations Adjustment,INS 103,3,100,None,None,,,,
INS - Insurance and Risk Management,Property and Casualty Insurance,INS 104,3,100,None,None,,,,
INS - Insurance and Risk Management,Life and Health Insurance,INS 105,3,100,None,None,,,,
INS - Insurance and Risk Management,Risk Management Insurance II,INS 106,3,100,None,None,,,,
INS - Insurance and Risk Management,Insurance Operations and Applied Accounting,INS 107,3,100,None,None,,,,
INS - Insurance and Risk Management,Insurance and Society,INS 108,3,100,None,None,,,,
INS - Insurance and Risk Management,"Insurance, Innovation and Communities",INS 109,3,100,None,None,,,,
INS - Insurance and Risk Management,Licensure Exam Preparation,INS 110,3,100,None,None,,,,
INS - Insurance and Risk Management,The Changing Insurance Landscape,INS 111,3,100,None,None,,,,
INS - Insurance and Risk Management,Compliance and Ethics ,INS 112,3,100,None,None,,,,
KINS - Kinesiology,Foundation of Kinesiology,KINS 111,3,100,None,None,,,,
KINS - Kinesiology,Weight Training and Physical Conditioning,KINS 120,3,100,None,KINS 120L,,,,
KINS - Kinesiology,Weight Training and Physical Conditioning Laboratory,KINS 120L,1,100,None,KINS 120,,,,
KINS - Kinesiology,Mechanics of Movement,KINS 122,3,100,None,KINS 122L,,,,
KINS - Kinesiology,Mechanics of Movement Laboratory,KINS 122L,1,100,None,KINS 122,,,,
KINS - Kinesiology,Foundations of Health,KINS 123,3,100,None,None,,,,
KINS - Kinesiology,Group Exercise Instruction and Leadership,KINS 125,3,100,None,KINS 125L,,,,
KINS - Kinesiology,Group Exercise Instruction and Leadership Laboratory,KINS 125L,1,100,None,KINS 125,,,,
KINS - Kinesiology,Human Anatomy and Physiology,KINS 132,3,100,None,None,,,,
KINS - Kinesiology,Exercise Physiology,KINS 133,3,100,None,KINS 133L,,,,
KINS - Kinesiology,Exercise Physiology Laboratory,KINS 133L,1,100,None,KINS 133,,,,
KINS - Kinesiology,Principles of Nutrition,KINS 134,3,100,None,None,,,,
KINS - Kinesiology,Prevention and Care of Athletic Injuries,KINS 243,3,200,None,KINS 243L,,,,
KINS - Kinesiology,Prevention and Care of Athletic Injuries Laboratory,KINS 243L,1,200,None,KINS 243,,,,
KINS - Kinesiology,Introduction to Exercise Science,KINS 275,3,200,None,KINS 275L,,,,
KINS - Kinesiology,Introduction to Exercise Science Laboratory,KINS 275L,1,200,None,KINS 275,,,,
KINS - Kinesiology,"Physical Activity, Cultural Diversity, and Society",KINS 278,3,200,None,None,,,,
KINS - Kinesiology,Fundamentals of Resistance Training,KINS 320,3,300,None,KINS 320L,,,,
KINS - Kinesiology,Fundamentals of Resistance Training Laboratory,KINS 320L,1,300,None,KINS 320,,,,
KINS - Kinesiology,Exercise Physiology,KINS 322,3,300,None,KINS 322L,,,,
KINS - Kinesiology,Exercise Physiology Laboratory,KINS 322L,1,300,None,KINS 322,,,,
KINS - Kinesiology,Measurement and Evaluation in Kinesiology,KINS 369,3,300,None,KINS 369L,,,,
KINS - Kinesiology,Measurement and Evaluation in Kinesiology Laboratory,KINS 369L,1,300,None,KINS 369,,,,
KINS - Kinesiology,Kinesiology,KINS 370,3,300,KINS 132 or BIOL 221,None,,,,
KINS - Kinesiology,Exercise is Medicine ,KINS 375,3,300,KINS 132 OR BIOL 101,None,,,,
KINS - Kinesiology,Exercise Behavior and Psychosocial Outcomes ,KINS 381,3,300,None,None,,,,
KINS - Kinesiology,Psychosocial Aspects of Physical Education and Sports,KINS 382,3,300,None,None,,,,
KINS - Kinesiology,Seminar in Kinesiology,KINS 390,2,300,None,None,,,,
KINS - Kinesiology,Directed Study,KINS 391,1 to 4,300,None,None,,,,
KINS - Kinesiology,Practicum,KINS 400,6,400,None,None,,,,
KINS - Kinesiology,Independent Study ,KINS 401,3,400,None,None,,,,
KINS - Kinesiology,Physical Activity as Therapy,KINS 407,3,400,None,None,,,,
KINS - Kinesiology,Advanced Strength and Conditioning,KINS 414,3,400,None,None,,,,
KINS - Kinesiology,Fitness Programs for Individuals with Chronic Diseases,KINS 420,3,400,None,None,,,,
KINS - Kinesiology,Fitness and Wellness Program Development,KINS 425,3,400,None,None,,,,
KINS - Kinesiology,Physiology of Aging,KINS 464,3,400,None,None,,,,
KINS - Kinesiology,Gender Issues in Sport and Physical Culture,KINS 475,3,400,None,None,,,,
KINS - Kinesiology,"Sport, Cultural Politics, and Media",KINS 478,3,400,None,None,,,,
KINS - Kinesiology,Field Experience Seminar,KINS 486,3,400,None,None,,,,
MATH - Mathematics,Intermediate Algebra,MATH 100,3,100,None,None,,,,
MATH - Mathematics,College Algebra,MATH 101,3,100,MATH 100 or Completion of High School Algebra or pass score on placement test,None,,,,
MATH - Mathematics,Precalculus,MATH 110,3,100,MATH 101 or Completion of High School Algebra or pass score on placement test,None,,,,
MATH - Mathematics,Calculus I,MATH 120,3,100,MATH 110 or Completion of High School Algebra and High School Trigonometry or pass score on placement test,None,,,,
MATH - Mathematics,Biocalculus I,MATH 121,3,100,MATH 110 or Completion of High School Algebra and High School Trigonometry or pass score on placement test,None,,,,
MATH - Mathematics,Discrete Mathematics,MATH 125,3,100,MATH 110,None,,,,
MATH - Mathematics,Calculus II,MATH 130,4,100,MATH 120,None,,,,
MATH - Mathematics,Mathematics for Elementary Teachers,MATH 200S,3,200,"MATH 101 or CORE 130, and not MATH 220",None,,,,
MATH - Mathematics,Introduction to Abstract Algebra,MATH 202,3,200,MATH 130,None,,,,
MATH - Mathematics,Calculus III,MATH 210,4,200,MATH 130,None,,,,
MATH - Mathematics,Introduction to Higher Algebra,MATH 220,3,200,MATH 120,None,,,,
MATH - Mathematics,Linear Algebra,MATH 240,3,200,MATH 130,None,,,,
MATH - Mathematics,Ordinary Differential Equations ,MATH 270,3,200,MATH 130,None,,,,
MATH - Mathematics,Mathematical Modeling of Biological Systems,MATH 280,3,200,,None,,,,
MATH - Mathematics,Bioinformatics I,MATH 285,3,200,,None,,,,
MATH - Mathematics,Algebraic Structures,MATH 320,3,300,MATH 240,None,,,,
MATH - Mathematics,Real Analysis,MATH 353,3,300,MATH 240,None,,,,
MATH - Mathematics,Special Topics in Mathematics,MATH 390,3,300,,None,,,,
MATH - Mathematics,Special Topics in Biostatistics,MATH 390B,3,300,,None,,,,
MATH - Mathematics,Senior Seminar,MATH 395,2,300,,None,,,,
MATH - Mathematics,Independent Study ,MATH 398,3 to 4,300,Discipline Coordinator Permission,None,,,,
MGT - Management,Management Principles and Practice,MGT 280,3,200,None,None,,,,
MGT - Management,Human Resource Management,MGT 320,3,300,MGT 280,None,,,,
MGT - Management,Production and Operations Management,MGT 330,3,300,BAD 260,None,,,,
MGT - Management,Organizational Behavior,MGT 340,3,300,MGT 280,None,,,,
MGT - Management,International Business,MGT 350,3,300,MGT 280,None,,,,
MGT - Management,Entrepreneurial Development,MGT 380,3,300,None,None,,,,
MGT - Management,Topics in Management,MGT 400,1 to 3,400,Instructor Permission,None,,,,
MGT - Management,Leadership,MGT 405,3,400,None,None,,,,
MGT - Management,Strategic Marketing,MGT 422,3,400,BAD 320,None,,,,
MKT - Marketing,Marketing Principles,MKT 300,3,300,None,None,,,,
MKT - Marketing,Consumer Behavior,MKT 310,3,300,None,None,,,,
MKT - Marketing,Digital Marketing,MKT 320,3,300,None,None,,,,
MKT - Marketing,Brand Strategy,MKT 330,3,300,None,None,,,,
MKT - Marketing,Integrated Marketing Communications,MKT 340,3,300,None,None,,,,
MKT - Marketing,Music Marketing,MKT 350,3,300,None,None,,,,
MKT - Marketing,Supply Management,MKT 360,3,300,None,None,,,,
MKT - Marketing,Professional Selling And Sales Management,MKT 370,3,300,None,None,,,,
MKT - Marketing,Healthcare Marketing,MKT 380,3,300,None,None,,,,
MKT - Marketing,Special Topics in Marketing,MKT 400,3,400,None,None,,,,
MKT - Marketing,Marketing Analytics,MKT 410,3,400,None,None,,,,
MKT - Marketing,Marketing Strategy,MKT 420,3,400,MKT 300,None,,,,
MS - Military Science,Foundations of Officership,MS 111,1,100,None,None,,,,
MS - Military Science,Basic Leadership,MS 113,2,100,None,None,,,,
MS - Military Science,American Military History: Principles of War,MS 151,3,100,None,None,,,,
MS - Military Science,Leadership and Teamwork,MS 152,2,100,None,None,,,,
MS - Military Science,Leadership and Problem Solving,MS 211,3,200,None,None,,,,
MS - Military Science,Leadership and Ethics,MS 212,3,200,None,None,,,,
MS - Military Science,Leadership and Management: Developing Adaptive Leaders,MS 251,3,200,None,None,,,,
MS - Military Science,Officership,MS 252,3,200,None,None,,,,
MUS - Music,Piano Class for Beginners ,MUS 050X,1,100,,None,,,,
MUS - Music,Piano Class for Beginners ,MUS 052X,1,100,MUS 050X or Audition,None,,,,
MUS - Music,Piano Class for Beginners ,MUS 053X,1,100,MUS 052X or Audition,None,,,,
MUS - Music,Piano Class for Beginners ,MUS 054X,1,100,MUS 053X or Audition,None,,,,
MUS - Music,Introductory Organ ,MUS 060B,1,100,MUS 250B or Audtion,None,,,,
MUS - Music,Voice Class for Beginners,MUS 070X,1,100,None,None,,,,
MUS - Music,Elements of Music,MUS 100,3,100,None,None,,,,
MUS - Music,Materials in Music Theory ,MUS 101,3,100,MUS 100,MUS 101L,,,,
MUS - Music,Materials in Music Theory Laboratory,MUS 101L,1,100,None,MUS 101,,,,
MUS - Music,Materials in Music Theory ,MUS 102,3,100,None,MUS 102L,,,,
MUS - Music,Materials in Music Theory Laboratory,MUS 102L,1,100,None,MUS 102,,,,
MUS - Music,Principles of Jazz Improvisation,MUS 110,2,100,Audition or Instructor Permission,None,,,,
MUS - Music,Introduction to Music Technology,MUS 120,2,100,"MUS 100, CSCI 100",None,,,,
MUS - Music,Secondary Piano ,MUS 150A,1,100,None,None,,,,
MUS - Music,Secondary Piano ,MUS 150B,1,100,None,None,,,,
MUS - Music,Principal Piano ,MUS 151,1,100,Audition,None,,,,
MUS - Music,Principial Piano ,MUS 152,1,100,Audition,None,,,,
MUS - Music,Seminar in Music Performance and Literature,MUS 157,0,100,None,None,,,,
MUS - Music,Seminar in Music Performance and Literature,MUS 158,0,100,None,None,,,,
MUS - Music,Secondary Organ ,MUS 160A,1,100,MUS 060B or Instructor's Permission,None,,,,
MUS - Music,Secondary Organ ,MUS 160B,1,100,MUS 060B or Instructor's Permission,None,,,,
MUS - Music,Principal Organ ,MUS 161,1,100,Audition,None,,,,
MUS - Music,Principal Organ ,MUS 162,1,100,Audition ,None,,,,
MUS - Music,Secondary Voice,MUS 170A,1,100,None,None,,,,
MUS - Music,Secondary Voice ,MUS 170B,1,100,None,None,,,,
MUS - Music,Principal Voice ,MUS 171,1,100,Voice Audition,None,,,,
MUS - Music,Principal Voice ,MUS 172,1,100,Voice Audition,None,,,,
MUS - Music,World Music ,MUS 200,3,200,None,None,,,,
MUS - Music,Materials in Music Theory ,MUS 201,3,200,MUS 102,None,,,,
MUS - Music,Materials in Music Theory ,MUS 202,3,200,MUS 102,None,,,,
MUS - Music,Music in America,MUS 205,2,200,None,None,,,,
MUS - Music,Crosscurrents in African and African American Music ,MUS 206,2,200,None,None,,,,
MUS - Music,Twentieth Century Music,MUS 207,2,200,None,None,,,,
MUS - Music,History of Jazz,MUS 208,2,200,None,None,,,,
MUS - Music,Jubilee Singers,MUS 225,1,200,Audition,None,,,,
MUS - Music,University Choir,MUS 226,1,200,Permission of the Director,None,,,,
MUS - Music,Jazz Ensemble,MUS 227,1,200,None,None,,,,
MUS - Music,Opera Workshop,MUS 228,1 to 2,200,Audition,None,,,,
MUS - Music,Fisk University Marching Band,MUS 229,1,200,Audition ,None,,,,
MUS - Music,Secondary Piano ,MUS 250A,1,200,"MUS 150A, MUS 150B",None,,,,
MUS - Music,Secondary Piano ,MUS 250B,1,200,"MUS 150A, MUS 150B",None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 251,1,200,MUS 152,None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 252,1,200,MUS 152,None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 253,2,200,MUS 152,None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 254,2,200,MUS 152,None,,,,
MUS - Music,Secondary Organ ,MUS 260A,1,200,MUS 160B,None,,,,
MUS - Music,Secondary Organ ,MUS 260B,1,200,MUS 160B,None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 261,1,200,MUS 162,None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 262,1,200,MUS 162 ,None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 263,2,200,MUS 162,None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 264,2,200,MUS 162,None,,,,
MUS - Music,Secondary Voice ,MUS 270A,1,200,MUS 170B,None,,,,
MUS - Music,Secondary Voice ,MUS 270B,1,200,MUS 170B,None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 271,1,200,MUS 172,None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 272,1,200,MUS 172,None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 273,2,200,MUS 172 ,None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 274,2,200,MUS 172,None,,,,
MUS - Music,Independent Study I,MUS 281,2 to 3,200,None,None,,,,
MUS - Music,Independent Study II,MUS 282,2 to 3,200,None,None,,,,
MUS - Music,Counterpoint ,MUS 303,3,300,None,None,,,,
MUS - Music,Orchestration ,MUS 305,3,300,None,None,,,,
MUS - Music,Music History and Literature I,MUS 307,3,300,None,None,,,,
MUS - Music,Music History and Literature II,MUS 308,3,300,None,None,,,,
MUS - Music,Music in the Elementary School ,MUS 313,2,300,None,None,,,,
MUS - Music,Music in the High School Year,MUS 315,2,300,None,None,,,,
MUS - Music,Junior Recital ,MUS 320,0,300,None,None,,,,
MUS - Music,Conducting ,MUS 323,2,300,None,None,,,,
MUS - Music,Conducting ,MUS 324,2,300,None,None,,,,
MUS - Music,Junior Recital ,MUS 350,0,300,None,None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 351,1,300,None,None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 352,1,300,N,None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 355,3,300,"MUS 254, Junior Recital",None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 356,3,300,"MUS 254, Junior Recital",None,,,,
MUS - Music,Junior Recital,MUS 360,0,300,None,None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 361,1,300,MUS 262,None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 362,1,300,MUS 262,None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 365,3,300,"MUS 254, Junior Recital",None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 366,3,300,"MUS 254, Junior Recital",None,,,,
MUS - Music,Junior Recital II,MUS 370,0,300,None,None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 371,1,300,"MUS 272, MUS 157 or MUS 158",None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 372,1,300,"MUS 272, MUS 157 or MUS 158",None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 375,3,300,"MUS 274, Junior Recital",None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 376,3,300,"MUS 274, Junior Recital",None,,,,
MUS - Music,Independent Study ,MUS 381,2 to 3,300,None,None,,,,
MUS - Music,Independent Study ,MUS 382,2 to 3,300,None,None,,,,
MUS - Music,Techniques of Teaching Brass and Percussion,MUS 383,2,300,None,None,,,,
MUS - Music,Techniques of Teaching Woodwinds and Strings ,MUS 384,2,300,None,None,,,,
MUS - Music,Junior Recital,MUS 390,0,300,None,None,,,,
MUS - Music,Senior Recital,MUS 420,0,400,None,None,,,,
MUS - Music,Senior Recital,MUS 430,0,400,None,None,,,,
MUS - Music,Senior Recital,MUS 440,0,400,None,None,,,,
MUS - Music,Senior Recital,MUS 450,0,400,None,None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 451,2,400,"MUS 352, Mini Recital",None,,,,
MUS - Music,Principal Piano for B.A in Music ,MUS 452,2,400,MUS 352,None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 455,3,400,"MUS 356, Senior Recital",None,,,,
MUS - Music,Principal Piano for B.Music ,MUS 456,3,400,"MUS 356, Senior Recital",None,,,,
MUS - Music,Senior Recital,MUS 460,0,400,None,None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 461,2,400,"MUS 362, Mini Recital",None,,,,
MUS - Music,Principal Organ for B.A in Music ,MUS 462,2,400,"MUS 362, Mini recital ",None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 465,3,400,"MUS 366, Senior Recital",None,,,,
MUS - Music,Principal Organ for B.Music ,MUS 466,3,400,"MUS 366, Senior Recital",None,,,,
MUS - Music,Senior Recital,MUS 470,0,400,None,None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 471,2,400,"MUS 372, Senior Recital",None,,,,
MUS - Music,Principal Voice for B.A in Music ,MUS 472,2,400,"MUS 372, Senior Recital",None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 475,3,400,MUS 376,None,,,,
MUS - Music,Principal Voice for B.Music ,MUS 476,3,400,MUS 376,None,,,,
MUS - Music,Independent Study ,MUS 481,2 to 3,400,None,None,,,,
MUS - Music,Independent Study,MUS 482,2 to 3,400,None,None,,,,
MUS - Music,Senior Recital,MUS 490,0,400,None,None,,,,
NSCI - Natural Science,Space Exploration,NSCI 110,3,100,None,None,,,,
NSCI - Natural Science,Bioinformatics I,NSCI 285,3,200,None,NSCI 285L,,,,
NSCI - Natural Science,Bioinformatics I Laboratory,NSCI 285L,1,200,None,NSCI 285,,,,
NSCI - Natural Science,Pratical Tools for Bioinformatics,NSCI 286,3,200,"MATH 110, BIOL 101, BIOL 102",None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 290,1 to 3,200,None,None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 291,1 to 3,200,None,None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 292,1 to 3,200,None,None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 293,1 to 3,200,None,None,,,,
NSCI - Natural Science,Biophysics ,NSCI 323,3,300,None,NSCI 323L,,,,
NSCI - Natural Science,Biophysics Lab,NSCI 323L,1,300,None,NSCI 323,,,,
NSCI - Natural Science,Biophysics Seminar,NSCI 324,1,300,"NSCI 323, NSCI 323L",None,,,,
NSCI - Natural Science,Statistics,NSCI 360,3,300,MATH 130,None,,,,
NSCI - Natural Science,Biochemistry I,NSCI 361,3,300,CHEM 234,NSCI 361L,,,,
NSCI - Natural Science,Biochemistry I Laboratory,NSCI 361L,1,300,None,NSCI 361,,,,
NSCI - Natural Science,Biochemistry II,NSCI 362,3,300,NSCI 361,NSCI 362,,,,
NSCI - Natural Science,Biochemistry II Laboratory,NSCI 362L,1,300,None,NSCI 362L,,,,
NSCI - Natural Science,Special Topics ,NSCI 390,1 to 3,300,None,None,,,,
NSCI - Natural Science,Scientific Inquiry: Ethics and Culture I,NSCI 390S,1,300,None,None,,,,
NSCI - Natural Science,Scientific Inquiry: Ethics and Culture II,NSCI 391S,1,300,NSCI 390S,None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 392,1 to 3,300,None,None,,,,
NSCI - Natural Science,Undergraduate Research,NSCI 393,1 to 3,300,None,None,,,,
NS - Naval Science,Sea Power in History,NS 131,3,100,None,None,,,,
NS - Naval Science,Organization and Management,NS 241,3,200,None,None,,,,
PHO - Photography,Photography I ,PHO 121,3,100,None,None,,Distribution: Studio,,
PHO - Photography,Digital Imaging,PHO 351,3,300,None,None,,Distribution: Studio,,
PHYS - Physics,Seminar I,PHYS 110,0,100,None,None,,,,
PHYS - Physics,Physics for the Life Sciences I ,PHYS 117,3,100,MATH 110,PHYS 117L,,,,
PHYS - Physics,Physics for the Life Science I Laboratory,PHYS 117L,1,100,MATH 110,PHYS 117,,,,
PHYS - Physics,Physics for the Life Sciences II,PHYS 118,3,100,PHYS 117,PHYS 118L,,,,
PHYS - Physics,Physics for the Life Sciences II Laboratory,PHYS 118L,1,100,PHYS 117,PHYS 118,,,,
PHYS - Physics,University Physics I ,PHYS 130,3,100,MATH 110,PHYS 130L,,,,
PHYS - Physics,Experiments in General Physics I,PHYS 130L,1,100,MATH 110,PHYS 130,,,,
PHYS - Physics,University Physics II,PHYS 140,3,100,PHYS 130,PHYS 140L,,,,
PHYS - Physics,Experiments in General Physics II,PHYS 140L,1,100,PHYS 130,PHYS 140,,,,
PHYS - Physics,Modern Physics,PHYS 232,3,200,PHYS 140 or PHYS 118,PHYS 234,,,,
PHYS - Physics,Experiments in Modern Physics,PHYS 234,1,200,PHYS 140 or PHYS 118,PHYS 232,,,,
PHYS - Physics,Electronics ,PHYS 252,3,200,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 120",None,,,,
PHYS - Physics,Heat and Thermodynamics ,PHYS 262,3,200,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 120",None,,,,
PHYS - Physics,Biophysics ,PHYS 323,3,300,None,PHYS 323L,,,,
PHYS - Physics,Biophysics Laboratory,PHYS 323L,1,300,None,PHYS 323,,,,
PHYS - Physics,Biophysics Seminar,PHYS 324,1,300,"PHYS 323, PHYS 323L",None,,,,
PHYS - Physics,Introduction to Astrophysics,PHYS 330,3,300,PHYS 130,MATH 130,,,,
PHYS - Physics,Methods in Theoretical Physics,PHYS 340,3,300,None,None,,,,
PHYS - Physics,Theoretical Mechanics,PHYS 341,3,300,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 120",None,,,,
PHYS - Physics,Intermediate Electricity and Magnetism,PHYS 351,3,300,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 210",None,,,,
PHYS - Physics,Introduction to Materials Science,PHYS 359,3,300,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 130",None,,,,
PHYS - Physics,Special Problems in Experimental Physics,PHYS 381,2 to 3,300,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 210",None,,,,
PHYS - Physics,Special Problems in Theoretical Physics,PHYS 382,2 to 3,300,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 210",None,,,,
PHYS - Physics,Topics In High Energy Astrophysics,PHYS 430,3,400,PHYS 330,None,,,,
PHYS - Physics,Solid State Physics,PHYS 441,3,400,"PHYS 130 or PHYS 117, PHYS 140 or PHYS 118, MATH 210",None,,,,
PHYS - Physics,Quantum Mechanics,PHYS 451,3,400,"PHYS 341, MATH 210",None,,,,
